"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"212328_at",553.820862790698,996.479545348837,3.73733942463786,0.000335884138296774,0.00901899986050101,-4.49727547570077
"222266_at",-367.433190697674,816.767823255814,-3.73728994381569,0.000335940846574332,0.00901899986050101,-4.49727790585568
"209663_s_at",52.7875325581396,114.092394186047,3.73616536414257,0.000337232149384476,0.00904277254480659,-4.49733313358954
"221104_s_at",382.939372093024,1212.43361627907,3.73572480526843,0.00033773930987118,0.00904548682915805,-4.49735476729213
"216442_x_at",-1742.66393023256,3290.85059302326,-3.7348663956281,0.000338729576365202,0.00906111782730587,-4.49739691638096
"214773_x_at",-219.808323255814,501.867536046512,-3.73389686474232,0.000339851356977546,0.00908022516490488,-4.49744451653589
"215000_s_at",914.219534883722,2991.96581395349,3.7308673815535,0.000343379408548302,0.00916189830100048,-4.49759321707745
"214909_s_at",249.770246511628,423.425704651163,3.73024923448819,0.000344103555357235,0.00916189830100048,-4.49762355193775
"209755_at",373.608465116279,664.965813953488,3.72993175133183,0.000344476045272527,0.00916189830100048,-4.49763913119635
"209360_s_at",-472.253346511628,500.579722093023,-3.72986634377534,0.000344552832932657,0.00916189830100048,-4.49764234074646
"214097_at",-214.465113953488,276.941405813954,-3.72756592795605,0.000347263879595535,0.00922298096427568,-4.49775520634876
"208475_at",71.0403348837209,205.343672093023,3.72640222727208,0.000348643025579663,0.00924300351959273,-4.49781228939883
"208186_s_at",243.494302325581,388.37273255814,3.7262301770739,0.000348847370640286,0.00924300351959273,-4.49782072831278
"202808_at",479.697451162791,964.807506976744,3.72246458739585,0.00035334843835793,0.00935114400466716,-4.49800538393508
"218392_x_at",-94.6183255813954,149.808595348837,-3.72202539690271,0.000353876994194406,0.00935402261166543,-4.49802691540001
"208988_at",-392.24711627907,828.489813953488,-3.72141649796757,0.000354611035144608,0.00936231954517453,-4.49805676501156
"213911_s_at",-917.654046511628,2191.51346511628,-3.71863440324183,0.000357983384875618,0.00944017013631173,-4.49819312198555
"213541_s_at",250.427720930233,594.240953488372,3.71729374709974,0.000359619352886798,0.00946195874655825,-4.49825881446808
"216226_at",273.63323255814,925.625546511628,3.71692372966575,0.00036007212674427,0.00946195874655825,-4.49827694355512
"203743_s_at",-481.494534883721,1341.9216627907,-3.71691442670632,0.000360083517348714,0.00946195874655825,-4.49827739934533
"212372_at",1004.9068372093,2668.96755813953,3.71607097251894,0.000361117674128184,0.00947795657549862,-4.49831872151866
"208682_s_at",-435.148506976744,480.907434883721,-3.71318987557353,0.000364671533610581,0.00955997150993479,-4.49845983951701
"211994_at",598.079930232558,1909.69463953488,3.71239279342776,0.000365660602958143,0.00957463597616486,-4.49849887248535
"204942_s_at",-170.247651162791,379.530220930233,-3.7096018123659,0.000369143978538974,0.00965450149505159,-4.49863551679033
"201536_at",221.117039534884,678.420038372093,3.69828106251896,0.000383599590989767,0.0100208085416471,-4.49918929925524
"211979_at",-175.688251162791,461.946525581395,-3.6964542999997,0.000385982071794595,0.0100712394681487,-4.49927858850487
"204754_at",191.842418604651,510.17111627907,3.69483241292004,0.000388109138839375,0.0101054051749216,-4.4993578470921
"213571_s_at",-226.62491627907,593.323309302326,-3.69476447206126,0.00038819848448292,0.0101054051749216,-4.49936116689217
"211813_x_at",1325.36290697675,3894.32875581395,3.69214102878716,0.000391663441076104,0.0101733984079959,-4.49948933533753
"212107_s_at",245.742267441861,474.812284883721,3.69209571421487,0.000391723548627228,0.0101733984079959,-4.49949154882162
"201893_x_at",1376.87023255814,4569.73302325581,3.68970195004073,0.000394911258027105,0.0102442462894272,-4.49960845971604
"55872_at",-183.230511627907,440.629302325581,-3.68880510880263,0.000396111895613183,0.0102634434534286,-4.49965225239817
"206461_x_at",621.976093023256,1811.68197674419,3.68748369669852,0.000397887248848111,0.0102886412571671,-4.49971676805124
"208848_at",571.438558139535,1723.22006976744,3.6873941408321,0.000398007842915137,0.0102886412571671,-4.49972114008195
"212977_at",725.111534883721,1304.26102325581,3.68620997407889,0.000399605688200081,0.0103179763037803,-4.49977894542897
"204773_at",225.63531627907,386.87078372093,3.68487959522502,0.00040140809733981,0.0103515278636158,-4.49984387810208
"214614_at",-150.861458139535,125.795924418605,-3.68456590991453,0.000401834205539097,0.0103515278636158,-4.49985918679666
"203810_at",506.374651162791,1437.159,3.68394703112965,0.000402676148030266,0.0103612385757026,-4.49988938802553
"205603_s_at",331.099744186047,902.25038372093,3.68238743390416,0.000404805317965356,0.0103948651731519,-4.49996548600603
"200662_s_at",-741.653069767442,1972.15586046512,-3.6823065821565,0.000404915988434945,0.0103948651731519,-4.49996943063471
"204079_at",54.9476790697675,158.115472093023,3.68172358063829,0.000405714857025707,0.0104033879851597,-4.49999787318936
"222036_s_at",-251.136558139535,287.746097674419,-3.67749410236307,0.000411555396365091,0.0105410217209234,-4.50020415289308
"203780_at",-252.481325581395,630.881639534884,-3.67684546064485,0.000412458150651407,0.0105520148920382,-4.50023577882935
